0;0
1;0.1
2;0.15
3;0.18
4;0.19
5;0.2
6;0.25
7;0.28
8;0.3
9;0.32
10;0.33
11;0.335
12;0.338
13;0.341
14;0.344
15;0.347
16;0.35
17;0.353
18;0.356
19;0.359
20;0.362
21;0.365
22;0.368
23;0.371
24;0.374
25;0.377
26;0.38
27;0.383
28;0.386
29;0.389
30;0.392
31;0.395
32;0.398
33;0.401
34;0.404
35;0.407
36;0.41
37;0.413
38;0.416
39;0.419
40;0.422
41;0.425
42;0.428
43;0.431
44;0.434
45;0.437
46;0.44
47;0.443
48;0.446
49;0.449
50;0.452
51;0.455
52;0.458
53;0.461
54;0.464
55;0.467
56;0.47
57;0.473
58;0.476
59;0.479
60;0.482
61;0.485
62;0.488
63;0.491
64;0.494
65;0.497
66;0.5
67;0.503
68;0.506
69;0.509
70;0.512
71;0.515
72;0.518
73;0.521
74;0.524
75;0.527
76;0.53
77;0.533
78;0.536
79;0.539
80;0.542
81;0.545
82;0.548
83;0.551
84;0.554
85;0.557
86;0.56
87;0.563
88;0.566
89;0.569
90;0.572
91;0.575
92;0.578
93;0.581
94;0.584
95;0.587
96;0.59
97;0.593
98;0.596
99;0.599
100;0.602
101;0.605
102;0.608
103;0.611
104;0.614
105;0.617
106;0.62
107;0.623
108;0.626
109;0.629
110;0.632
111;0.635
112;0.638
113;0.641
114;0.644
115;0.647
116;0.65
117;0.653
118;0.656
119;0.659
120;0.662
121;0.665
122;0.668
123;0.671
124;0.674
125;0.677
126;0.68
127;0.683
128;0.686
129;0.689
130;0.692
131;0.695
132;0.698
133;0.701
134;0.704
135;0.707
136;0.71
137;0.713
138;0.716
139;0.719
140;0.722
141;0.725
142;0.728
143;0.731
144;0.734
145;0.737
146;0.74
147;0.743
148;0.746
149;0.749
150;0.752
151;0.755
152;0.758
153;0.761
154;0.764
155;0.767
156;0.77
157;0.773
158;0.776
159;0.779
160;0.782
161;0.785
162;0.788
163;0.791
164;0.794
165;0.797
166;0.8
167;0.803
168;0.806
169;0.809
170;0.812
171;0.815
172;0.818
173;0.821
174;0.824
175;0.827
176;0.83
177;0.833
178;0.836
179;0.839
180;0.842
181;0.845
182;0.848
183;0.851
184;0.854
185;0.857
186;0.86
187;0.863
188;0.866
189;0.869
190;0.872
191;0.875
192;0.878
193;0.881
194;0.884
195;0.887
196;0.89
197;0.893
198;0.896
199;0.899
200;0.902
201;0.905
202;0.908
203;0.911
204;0.914
205;0.917
206;0.92
207;0.923
208;0.926
209;0.929
210;0.932
211;0.935
212;0.938
213;0.941
214;0.944
215;0.947
216;0.95
217;0.953
218;0.956
219;0.959
220;0.962
221;0.965
222;0.968
223;0.971
224;0.974
225;0.977
226;0.98
227;0.983
228;0.986
229;0.989
230;0.992
231;0.995
232;0.998
233;1
234;1
235;1
236;1
237;1
238;1
239;1
240;1
241;1
242;1
243;1
244;1
245;1
246;1
247;1
248;1
249;1
250;1
